KİMYA-BİYOLOJİ MÜHENDİSLİĞİ
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
Seçmeli Dersler Sayısı: 6
Toplam Ders Sayısı: 47 (ALIS ve UNIV hariç)
MAKİNEMÜHENDİSLİĞİ
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ACWR 101,Ortak Çekirdek,3,,CHEM 103,Zorunlu Alan,3
HUMS,Ortak Çekirdek,3,,CHEM 103L,Zorunlu Alan,1
MATH 106,Zorunlu Alan,3,,MATH 107,Zorunlu Alan,3
PHYS 101,Zorunlu Alan,3,,MATH 203,Zorunlu Alan,3
PHYS 101L,Zorunlu Alan,1,,PHYS 102,Zorunlu Alan,3
COMP 110,Zorunlu Alan,3,,PHYS 102L,Zorunlu Alan,1
CPAP 100,Ortak Çekirdek,0,,MECH 100,Zorunlu Alan,3
,,,,TURK 100,Ortak Çekirdek,4
2. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ENGR 201,Zorunlu Alan,4,,MECH 202,Zorunlu Alan,3
MBGE 200,Zorunlu Alan,3,,MECH 204,Zorunlu Alan,3
MATH 204,Zorunlu Alan,3,,MECH 206,Zorunlu Alan,3
MECH 201,Zorunlu Alan,3,,ECSA,Ortak Çekirdek,3
MECH 203,Zorunlu Alan,3,,ACWR 106,Ortak Çekirdek,3
,,,,MECH 291,Zorunlu Alan,0
3. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
MECH 301,Zorunlu Alan,3,,MECH 302,Zorunlu Alan,3
MECH 303,Zorunlu Alan,3,,MECH 304,Zorunlu Alan,3
ALAN,Alan Seçmeli,3,,MECH 306,Zorunlu Alan,4
HIST 300,Ortak Çekirdek,4,,SEÇMELİ,Genel Seçmeli,3
SOSC,Ortak Çekirdek,3,,ETHC,Ortak Çekirdek,3
,,,,MECH391,Zorunlu Alan,0
4. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
MECH 401,Zorunlu Alan,3,,ALAN,Alan Seçmeli,3
MECH 491,Zorunlu Alan,4,,SEÇMELİ,Genel Seçmeli,3
ASIU,Ortak Çekirdek,3,,SEÇMELİ,Genel Seçmeli,3
SEÇMELİ,Genel Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
SEÇMELİ,Genel Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
,,,,,,
Mezuniyet için gerekli toplam kredi 133 (ALIS ve UNIV dahil)
Ders Sayısı
Ortak Çekirdek Dersleri Sayısı: 10 (ALIS ve UNIV hariç)
Alan Dersleri Sayısı: 29 (0 kredilik staj dersleri dahil)
Seçmeli Dersler Sayısı: 7
Toplam Ders Sayısı: 47 (ALIS ve UNIV hariç)
